feature_set,component,feature,loading
F1_real_metrics,1,M1_original_score,0.5159167469926438
F1_real_metrics,1,M2_intervention_score,-0.437905768770572
F1_real_metrics,1,M3_reuse_score,0.5228777437266887
F1_real_metrics,1,M4_compression_score,-0.10682538341656272
F1_real_metrics,1,M5_perturbation_centrality_score,0.5072037563180839
F1_real_metrics,2,M1_original_score,0.07313939053925252
F1_real_metrics,2,M2_intervention_score,-0.13223903974703954
F1_real_metrics,2,M3_reuse_score,0.014861281803916816
F1_real_metrics,2,M4_compression_score,0.9883947865938592
F1_real_metrics,2,M5_perturbation_centrality_score,0.004284163343211144
F1_real_metrics,3,M1_original_score,0.26418695541004605
F1_real_metrics,3,M2_intervention_score,0.8729964470355075
F1_real_metrics,3,M3_reuse_score,0.1205619876693302
F1_real_metrics,3,M4_compression_score,0.09378850959035441
F1_real_metrics,3,M5_perturbation_centrality_score,0.38046153373579256
F1_real_metrics,4,M1_original_score,-0.44394068122290475
F1_real_metrics,4,M2_intervention_score,-0.14489374478648093
F1_real_metrics,4,M3_reuse_score,-0.4295249042568757
F1_real_metrics,4,M4_compression_score,0.016573951222524703
F1_real_metrics,4,M5_perturbation_centrality_score,0.7727587819242744
F1_real_metrics,5,M1_original_score,-0.6794133232948769
F1_real_metrics,5,M2_intervention_score,0.08737494051137486
F1_real_metrics,5,M3_reuse_score,0.7261894870973923
F1_real_metrics,5,M4_compression_score,0.05092251861089489
F1_real_metrics,5,M5_perturbation_centrality_score,0.02861611132901109
F2_real_plus_controls,1,M1_original_score,0.49846546028107447
F2_real_plus_controls,1,M2_intervention_score,-0.42041701401944903
F2_real_plus_controls,1,M3_reuse_score,0.5100561222636917
F2_real_plus_controls,1,M4_compression_score,-0.16924341521222694
F2_real_plus_controls,1,M5_perturbation_centrality_score,0.49451655352802154
F2_real_plus_controls,1,M6_frequency_control_score,-0.20353487782406823
F2_real_plus_controls,1,M7_random_matched_score,0.0028406996116989015
F2_real_plus_controls,2,M1_original_score,0.15472743887138302
F2_real_plus_controls,2,M2_intervention_score,-0.16697154101162198
F2_real_plus_controls,2,M3_reuse_score,0.10739637509317652
F2_real_plus_controls,2,M4_compression_score,0.6900321116062479
F2_real_plus_controls,2,M5_perturbation_centrality_score,0.10351894242094896
F2_real_plus_controls,2,M6_frequency_control_score,0.6704839870906215
F2_real_plus_controls,2,M7_random_matched_score,-0.015384386132915248
F2_real_plus_controls,3,M1_original_score,-0.002541524012699793
F2_real_plus_controls,3,M2_intervention_score,-0.010297574183631322
F2_real_plus_controls,3,M3_reuse_score,-0.0009816243520332963
F2_real_plus_controls,3,M4_compression_score,0.010209328148645893
F2_real_plus_controls,3,M5_perturbation_centrality_score,-0.002878360069326656
